Timesteps  Total_Iterations  Iterations  Total_Iterations_Surrogate_Model  Iterations_Surrogate_Model  Convergence  avgConvRate(0)  avgConvRate(1)  deleted_Columns  
1  5  5  5  5  1  0.2269184485430622  0.1187493127594989  0  
2  10  5  9  4  1  0.1015413330273445  0.0746369563919850  0  
3  15  5  14  5  1  0.0776686361158673  0.0578274455514892  0  
4  20  5  19  5  1  0.1598058745492697  0.0813448875884680  0  
5  23  3  22  3  1  0.3120718697167064  0.2108927918850162  0  
6  26  3  26  4  1  0.3514606999735820  0.1170649643142141  0  
7  29  3  30  4  1  0.3595885033888625  0.1172401859601997  0  
8  32  3  34  4  1  0.3724871183541206  0.0980944985532617  0  
9  35  3  38  4  1  0.3801073172608910  0.1039953506027436  0  
10  38  3  42  4  1  0.3854553151079428  0.1008097848513170  0  
11  41  3  46  4  1  0.3898434474327161  0.0867485673413487  0  
12  44  3  50  4  1  0.3922026366975288  0.1262690813778391  0  
13  47  3  54  4  1  0.3946674552531758  0.1366121171488544  0  
14  48  1  58  4  1  1.0000000000000000  1.0000000000000000  0  
15  49  1  61  3  1  1.0000000000000000  1.0000000000000000  0  
16  50  1  64  3  1  1.0000000000000000  1.0000000000000000  0  
17  51  1  67  3  1  1.0000000000000000  1.0000000000000000  0  
18  52  1  70  3  1  1.0000000000000000  1.0000000000000000  0  
19  53  1  73  3  1  1.0000000000000000  1.0000000000000000  0  
20  54  1  76  3  1  1.0000000000000000  1.0000000000000000  0  
21  55  1  79  3  1  1.0000000000000000  1.0000000000000000  0  
22  56  1  82  3  1  1.0000000000000000  1.0000000000000000  0  
23  57  1  85  3  1  1.0000000000000000  1.0000000000000000  0  
24  58  1  88  3  1  1.0000000000000000  1.0000000000000000  0  
25  59  1  90  2  1  1.0000000000000000  1.0000000000000000  0  
26  60  1  93  3  1  1.0000000000000000  1.0000000000000000  0  
27  61  1  96  3  1  1.0000000000000000  1.0000000000000000  0  
28  62  1  99  3  1  1.0000000000000000  1.0000000000000000  0  
29  63  1  102  3  1  1.0000000000000000  1.0000000000000000  0  
30  64  1  105  3  1  1.0000000000000000  1.0000000000000000  0  
31  65  1  108  3  1  1.0000000000000000  1.0000000000000000  0  
32  66  1  111  3  1  1.0000000000000000  1.0000000000000000  0  
33  67  1  114  3  1  1.0000000000000000  1.0000000000000000  0  
34  68  1  117  3  1  1.0000000000000000  1.0000000000000000  0  
35  69  1  120  3  1  1.0000000000000000  1.0000000000000000  0  
36  70  1  123  3  1  1.0000000000000000  1.0000000000000000  0  
37  71  1  126  3  1  1.0000000000000000  1.0000000000000000  0  
38  72  1  129  3  1  1.0000000000000000  1.0000000000000000  0  
39  73  1  132  3  1  1.0000000000000000  1.0000000000000000  0  
40  74  1  135  3  1  1.0000000000000000  1.0000000000000000  0  
41  75  1  138  3  1  1.0000000000000000  1.0000000000000000  0  
42  76  1  141  3  1  1.0000000000000000  1.0000000000000000  0  
43  77  1  144  3  1  1.0000000000000000  1.0000000000000000  0  
44  78  1  147  3  1  1.0000000000000000  1.0000000000000000  0  
45  79  1  150  3  1  1.0000000000000000  1.0000000000000000  0  
46  80  1  153  3  1  1.0000000000000000  1.0000000000000000  0  
47  81  1  156  3  1  1.0000000000000000  1.0000000000000000  0  
48  82  1  159  3  1  1.0000000000000000  1.0000000000000000  0  
49  83  1  162  3  1  1.0000000000000000  1.0000000000000000  0  
50  84  1  165  3  1  1.0000000000000000  1.0000000000000000  0  
51  85  1  168  3  1  1.0000000000000000  1.0000000000000000  0  
52  86  1  171  3  1  1.0000000000000000  1.0000000000000000  0  
53  87  1  174  3  1  1.0000000000000000  1.0000000000000000  0  
54  88  1  177  3  1  1.0000000000000000  1.0000000000000000  0  
55  89  1  180  3  1  1.0000000000000000  1.0000000000000000  0  
56  90  1  183  3  1  1.0000000000000000  1.0000000000000000  0  
57  91  1  186  3  1  1.0000000000000000  1.0000000000000000  0  
58  92  1  189  3  1  1.0000000000000000  1.0000000000000000  0  
59  93  1  192  3  1  1.0000000000000000  1.0000000000000000  0  
60  94  1  195  3  1  1.0000000000000000  1.0000000000000000  0  
61  95  1  198  3  1  1.0000000000000000  1.0000000000000000  0  
62  96  1  201  3  1  1.0000000000000000  1.0000000000000000  0  
63  97  1  204  3  1  1.0000000000000000  1.0000000000000000  0  
64  98  1  207  3  1  1.0000000000000000  1.0000000000000000  0  
65  99  1  210  3  1  1.0000000000000000  1.0000000000000000  0  
66  100  1  213  3  1  1.0000000000000000  1.0000000000000000  0  
67  101  1  216  3  1  1.0000000000000000  1.0000000000000000  0  
68  102  1  219  3  1  1.0000000000000000  1.0000000000000000  0  
69  103  1  222  3  1  1.0000000000000000  1.0000000000000000  0  
70  104  1  225  3  1  1.0000000000000000  1.0000000000000000  0  
71  105  1  228  3  1  1.0000000000000000  1.0000000000000000  0  
72  106  1  231  3  1  1.0000000000000000  1.0000000000000000  0  
73  107  1  234  3  1  1.0000000000000000  1.0000000000000000  0  
74  108  1  236  2  1  1.0000000000000000  1.0000000000000000  0  
75  109  1  238  2  1  1.0000000000000000  1.0000000000000000  0  
76  110  1  241  3  1  1.0000000000000000  1.0000000000000000  0  
77  111  1  244  3  1  1.0000000000000000  1.0000000000000000  0  
78  112  1  247  3  1  1.0000000000000000  1.0000000000000000  0  
79  113  1  250  3  1  1.0000000000000000  1.0000000000000000  0  
80  114  1  253  3  1  1.0000000000000000  1.0000000000000000  0  
81  115  1  256  3  1  1.0000000000000000  1.0000000000000000  0  
82  116  1  259  3  1  1.0000000000000000  1.0000000000000000  0  
83  117  1  262  3  1  1.0000000000000000  1.0000000000000000  0  
84  120  3  265  3  1  0.4121518373486823  0.1916068285489225  0  
85  123  3  269  4  1  0.4129582192404347  0.1813257652074362  0  
86  126  3  273  4  1  0.4153847888604851  0.1321192197955345  0  
87  129  3  277  4  1  0.4147175714019473  0.1407589149082913  0  
88  134  5  282  5  1  0.0924397629012688  0.0729636662868657  0  
89  139  5  286  4  1  0.1286654886882442  0.0694630342955117  0  
90  144  5  290  4  1  0.1325541275417722  0.0524690123941042  0  
91  149  5  294  4  1  0.0893940549894105  0.0774534033946049  0  
92  154  5  298  4  1  0.1351217665820979  0.0850333953802148  0  
93  159  5  302  4  1  0.1269337183430811  0.1034574276816953  0  
94  164  5  306  4  1  0.1285059279881916  0.0825532033921756  0  
95  169  5  310  4  1  0.1266050643391842  0.1118176593735602  0  
96  174  5  314  4  1  0.1380267194702580  0.1363679142942709  0  
97  179  5  319  5  1  0.1048293815786065  0.0839109448114523  0  
98  184  5  324  5  1  0.0830609674135712  0.1195026049612643  0  
99  189  5  329  5  1  0.0947777271494486  0.1011428716595870  0  
100  194  5  334  5  1  0.0728107568722284  0.1119399486511951  0  
